id,date,group,outcome
aa100291,8/15/23,treatment,0
aa101685,11/26/23,treatment,0
aa102878,12/26/23,control,0
aa102922,9/14/23,control,0
aa103178,12/25/23,treatment,0
aa104009,8/8/23,control,0
aa105166,9/8/23,control,0
aa107566,8/8/23,treatment,0
aa108172,9/10/23,treatment,0
aa108897,8/22/23,treatment,0
aa108982,8/25/23,treatment,0
aa109500,9/30/23,treatment,0
aa110472,11/7/23,treatment,0
aa110578,12/25/23,control,0
aa115200,9/18/23,control,0
aa11549,11/17/23,control,0
aa115905,9/14/23,treatment,0
aa119360,12/27/23,control,0
aa119985,11/5/23,control,0
aa119985,11/14/23,control,0
aa120752,9/21/23,control,0
aa123105,9/13/23,treatment,0
aa123155,8/18/23,control,0
aa123395,8/5/23,treatment,0
aa123618,11/22/23,control,0
aa125439,10/1/23,control,0
aa127224,11/30/23,treatment,0
aa127597,11/1/23,treatment,0
aa128572,8/6/23,control,0
aa128607,9/24/23,treatment,0
aa129747,11/24/23,control,0
aa129969,10/27/23,treatment,0
aa130649,9/6/23,treatment,0
aa131255,8/15/23,control,0
aa131259,8/14/23,treatment,0
aa131613,12/2/23,treatment,0
aa132745,9/25/23,treatment,0
aa13280,9/15/23,treatment,0
aa134134,12/18/23,control,0
aa136083,12/4/23,treatment,0
aa138145,10/23/23,control,0
aa139453,9/29/23,control,0
aa141229,10/13/23,treatment,0
aa141967,12/2/23,treatment,0
aa146879,10/21/23,control,0
aa147230,9/18/23,treatment,0
aa148610,9/26/23,treatment,0
aa149102,9/5/23,control,0
aa149120,11/22/23,control,0
aa149636,8/21/23,control,0
aa149808,9/23/23,treatment,0
aa149951,11/17/23,control,0
aa15156,8/21/23,treatment,0
aa16253,12/28/23,control,0
aa17219,11/17/23,treatment,0
aa21811,9/30/23,treatment,0
aa22308,9/1/23,treatment,0
aa23177,12/3/23,treatment,0
aa24593,12/13/23,control,0
aa24610,10/19/23,control,0
aa26699,11/8/23,treatment,0
aa26922,9/13/23,control,0
aa27350,9/11/23,control,0
aa28607,8/9/23,treatment,0
aa30112,10/15/23,control,0
aa30473,10/15/23,treatment,0
aa30500,12/20/23,treatment,0
aa32016,11/2/23,treatment,0
aa35045,9/18/23,control,0
aa37696,10/14/23,treatment,93.82535123
aa37916,10/20/23,control,0
aa38385,9/12/23,control,0
aa39710,8/24/23,treatment,0
aa41142,11/7/23,control,138.7698968
aa41285,12/9/23,control,0
aa42129,10/16/23,treatment,0
aa42438,12/30/23,control,0
aa42467,12/18/23,control,0
aa43499,11/10/23,treatment,0
